Id, NetworkId, MNC, TAPCode
249, 390, 64, NULL
251, 480, 70, NULL
252, 1314, 2, 'MKDCC'
253, 395, 1, 'MKDMM'
254, 499, 3, 'MKDNO'
255, 262, 5, 'LIEMK'
256, 308, 2, 'LIEVE'
257, 387, 1, NULL
259, 110, 2, NULL
260, 275, 3, NULL
261, 449, 1, NULL
262, 38, 610, 'CANBM'
263, 38, 640, NULL
264, 38, 880, NULL
265, 352, 370, 'CANMC'
266, 1174, 720, 'CANRW'
267, 21, 660, NULL
268, 102, 40, 'USACO'
269, 170, 370, NULL
270, 348, 110, 'PRICL'
271, 335, 30, 'MEXMS'
272, 351, 20, 'MEXTL'
273, 57, 180, 'JAMCW'
274, 50, 600, 'BRBCW'
275, 125, 750, NULL
276, 15, 30, 'ATG03'
277, 534, 930, NULL
278, 46, 140, 'CYMCW'
279, 48, 170, NULL
280, 66, 570, NULL
281, 235, 0, 'BMUBD'
282, 235, 2, 'BMUNI'
283, 428, 1, NULL
284, 428, 10, NULL
285, 55, 110, 'GRDCW'
287, 130, 30, NULL
288, 130, 50, NULL
289, 60, 860, 'MSRCW'
290, 59, 110, NULL
291, 116, 69, NULL
292, 360, 91, NULL
293, 360, 951, NULL
294, 405, 51, NULL
295, 289, 2, NULL
296, 289, 20, NULL
297, 359, 1, 'ABWSE'
298, 466, 390, 'BHSBH'
299, 49, 840, 'AIACW'
300, 533, 930, NULL
301, 54, 110, 'DMACW'
302, 535, 20, NULL
304, 103, 2, 'DOMCL'
305, 315, 1, 'DOM01'
306, 474, 4, 'DOMAC'
307, 128, 130, NULL
308, 29, 1, 'AZEAC'
309, 30, 4, 'AZEAF'
310, 34, 2, 'AZEBC'
311, 181, 2, 'KAZKZ'
312, 213, 1, 'KAZKT'
313, 258, 77, 'KAZ77'
314, 31, 11, 'BTNBM'
315, 402, 77, 'BTNTC'
316, 95, 4, NULL
317, 261, 1, NULL
318, 333, 3, NULL
319, 453, 6, NULL
320, 526, 7, NULL
321, 3, 1, 'AFGAW'
322, 157, 50, 'AFGEA'
323, 277, 40, 'AFGAR'
324, 423, 20, 'AFGTD'
325, 40, 5, NULL
326, 122, 2, NULL
327, 159, 3, NULL
328, 197, 8, NULL
329, 268, 1, NULL
330, 250, 1, 'LBNFL'
331, 210, 1, 'JORFL'
332, 489, 3, 'JORUM'
333, 283, 2, NULL
334, 388, 1, NULL
336, 19, 5, 'IRQAC'
337, 22, 20, 'IRQAT'
338, 22, 30, 'IRQOR'
339, 217, 40, 'IRQKK'
340, 220, 4, 'KWTKT'
341, 259, 2, 'KWTMT'
342, 285, 3, 'KWTNM'
343, 156, 3, NULL
344, 274, 4, NULL
345, 189, 4, NULL
346, 189, 700, NULL
347, 378, 2, NULL
348, 537, 1, NULL
349, 304, 3, NULL
350, 303, 2, NULL
352, 147, 2, NULL
353, 33, 1, '426'
354, 383, 4, 'BHRST'
355, 349, 1, NULL
356, 521, 2, NULL
357, 255, 99, 'MNGMC'
358, 491, 88, 'MNGMN'
359, 286, 1, NULL
360, 380, 2, NULL
361, 205, 35, 'IRNMI'
362, 216, 14, 'IRNKI'
363, 244, 11, 'IRN11'
364, 105, 5, NULL
365, 490, 4, NULL
366, 91, 4, NULL
367, 202, 1, NULL
368, 202, 2, NULL
369, 202, 12, NULL
370, 398, 5, NULL
371, 477, 3, NULL
372, 9, 5, 'KGZMC'
373, 299, 9, 'KGZNT'
374, 369, 1, 'KGZ01'
375, 10, 2, NULL
376, 215, 50, NULL
377, 215, 54, 'JPNKD'
378, 296, 10, 'JPNDO'
379, 373, 20, 'JPNJP'
380, 368, 5, NULL
384, 182, 7, NULL
385, 185, 5, NULL
386, 495, 1, NULL
387, 496, 2, NULL
388, 88, 12, 'HKGPP'
389, 88, 13, NULL
390, 112, 0, 'HKGTC'
