127.0.0.1 - - [05/Sep/2019:09:14:05 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/ HTTP/1.1" 200 109694
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 200 46085
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle.es5-c4947173b876c4521adc.cache.js HTTP/1.1" 200 5469458
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/bundles/webcomponents-sd-ce-pf.js HTTP/1.1" 200 110757
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:13 +0200] "GET /my-starter-project/icons/icon-512x512.png HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:41 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 53706
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:43 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:43 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:43 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5856
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:52 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:52 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:53 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5451
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:53 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:57 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:58 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 54125
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:14:59 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:01 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:02 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5457
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:03 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:04 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 4450
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:04 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:05 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 54337
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:06 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5458
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:09 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:09 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:10 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:10 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:11 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 54359
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:12 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [05/Sep/2019:09:15:14 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:17 +0200] "GET /my-starter-project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:18 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:19 +0200] "GET /my-starter-project/ HTTP/1.1" 200 109694
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:19 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:19 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:19 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [05/Sep/2019:10:34:20 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
