0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:17:43 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:22:44 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:22:44 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:27:45 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:27:45 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:32:46 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:32:46 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:37:47 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:37:47 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:41:37 +0200] "GET /my-starter-project/ HTTP/1.1" 200 33379
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:41:37 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:41:37 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:41:37 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:41:37 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:41:39 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:42:05 +0200] "GET /my-starter-project/ HTTP/1.1" 200 22044
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:42:05 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:42:05 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:42:05 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:10:42:07 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
