127.0.0.1 - - [20/Sep/2019:14:57:46 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:54 +0200] "GET /my-starter-project/ HTTP/1.1" 200 115437
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:54 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:55 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-82bf6d3bfd0111e0d9a7.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:55 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/bundles/webcomponents-sd-ce-pf.js HTTP/1.1" 200 114852
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:55 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle.es5-272f0679fb1c78b02cbb.cache.js HTTP/1.1" 200 5469458
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:55 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 200 46085
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:57:55 +0200] "GET /my-starter-project/icons/icon-512x512.png HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:03 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 54013
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:05 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:10 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:10 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:12 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 53307
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:13 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:15 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:21 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:22 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:22 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:24 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:24 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:25 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 53363
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:26 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [20/Sep/2019:14:58:29 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=0 HTTP/1.1" 200 213
