127.0.0.1 - - [04/Sep/2019:09:31:42 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/ HTTP/1.1" 200 113446
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/bundles/webcomponents-sd-ce-pf.js HTTP/1.1" 200 110757
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle.es5-c4947173b876c4521adc.cache.js HTTP/1.1" 200 5469458
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 200 46085
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:50 +0200] "GET /my-starter-project/icons/icon-512x512.png HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:56 +0200] "GET /my-starter-project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:56 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:57 +0200] "GET /my-starter-project/ HTTP/1.1" 200 113446
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:57 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:57 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:57 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:59 +0200] "GET /my-starter-project/ HTTP/1.1" 200 113449
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:31:59 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:32:01 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:32:02 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 20421
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:32:02 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:32:05 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 53661
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:32:05 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:21 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 55417
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:21 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:21 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:26 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:26 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:26 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:30 +0200] "GET /my-starter-project/beverages HTTP/1.1" 200 149896
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:30 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:30 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:30 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:30 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=2 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:31 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=2 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:32 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:34:32 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=2 HTTP/1.1" 200 108
