0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:32:55 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=2 HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:32:58 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=2 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:39 +0200] "GET /my-starter-project/beverages HTTP/1.1" 200 149804
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:39 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:39 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:39 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:40 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:40 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 5856
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:40 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:41 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 57305
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:41 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:42 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:43 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 53040
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:43 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:44 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:47 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=3 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:47 +0200] "GET /my-starter-project/beverages HTTP/1.1" 200 149804
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:47 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:47 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
